1594709624.108758,1594670398.872122,in,1,"2020-07-14 13:07:44",1,1
1594709626.842575,1594487010.644835,out1,1,"2020-07-14 13:07:46",-1,-1
1594709633.265712,1594670408.601116,in,1,"2020-07-14 13:07:53",0,1
1594709637.241479,1594670412.092233,in,1,"2020-07-14 13:07:57",0,1
1594709639.150795,1594670413.912651,in,1,"2020-07-14 13:07:59",0,1
1594709646.067837,1594487029.543310,out1,1,"2020-07-14 13:07:06",-1,-1
1594709647.825450,1594487031.377182,out1,1,"2020-07-14 13:07:07",-1,-1
1594709649.278944,1594487033.134533,out1,1,"2020-07-14 13:07:09",0,-1
1594709650.094586,1594487034.034009,out1,1,"2020-07-14 13:07:10",0,-1
1594709652.095062,1594487035.858322,out1,1,"2020-07-14 13:07:12",-1,-1
1594709657.589219,1594670432.529493,in,1,"2020-07-14 13:07:17",1,1
1594709660.411417,1594487044.143326,out1,1,"2020-07-14 13:07:20",-1,-1
1594709665.022351,1594487048.605491,out1,1,"2020-07-14 13:07:25",-1,-1
1594709665.493492,1594670440.397498,in,3,"2020-07-14 13:07:25",1,1
1594709666.601724,1594670441.495584,in,1,"2020-07-14 13:07:26",1,1
1594709668.195148,1594670442.960377,in,1,"2020-07-14 13:07:28",1,1
1594709668.231051,1594709667.927000,sys,1,"2020-07-14 13:07:28",-1,-1
1594709677.817075,1594709677.816000,sys,1,"2020-07-14 13:07:37",-1,-1
1594709687.632992,1594709687.329000,sys,1,"2020-07-14 13:07:47",-1,-1
1594709688.054009,1594709687.823000,sys,1,"2020-07-14 13:07:48",-1,-1
1594709688.201979,1594709688.200000,sys,1,"2020-07-14 13:07:48",-1,-1
1594709688.881814,1594709688.578000,sys,1,"2020-07-14 13:07:48",-1,-1
1594709701.322634,1594487085.182071,out1,1,"2020-07-14 13:07:01",-1,-1
1594709703.105261,1594670478.041190,in,1,"2020-07-14 13:07:03",1,1
1594709717.118705,1594709716.828000,sys,1,"2020-07-14 13:07:17",-1,-1
1594709722.709291,1594670497.613809,in,1,"2020-07-14 13:07:22",1,1
1594709725.198267,1594487108.756370,out1,1,"2020-07-14 13:07:25",-1,-1
1594709725.296098,1594709724.993000,sys,1,"2020-07-14 13:07:25",-1,-1
1594709725.549422,1594709725.287000,sys,1,"2020-07-14 13:07:25",-1,-1
1594709727.915700,1594709727.914000,sys,1,"2020-07-14 13:07:27",-1,-1
1594709728.565035,1594709728.262000,sys,1,"2020-07-14 13:07:28",-1,-1
1594709729.456577,1594487113.180423,out1,1,"2020-07-14 13:07:29",-1,-1
1594709731.564857,1594670506.577111,in,3,"2020-07-14 13:07:31",1,1
1594709743.117816,1594709743.116000,sys,1,"2020-07-14 13:07:43",-1,-1
1594709746.865016,1594709746.864000,sys,1,"2020-07-14 13:07:46",-1,-1
1594709747.582691,1594487131.462701,out1,1,"2020-07-14 13:07:47",-1,-1
1594709748.698467,1594487132.541759,out1,1,"2020-07-14 13:07:48",-1,-1
1594709749.880285,1594670524.778804,in,3,"2020-07-14 13:07:49",1,1
1594709753.500240,1594487137.341832,out1,1,"2020-07-14 13:07:53",-1,-1
1594709762.042318,1594487145.769104,out1,1,"2020-07-14 13:07:02",-1,-1
1594709765.865441,1594670540.798084,in,3,"2020-07-14 13:07:05",1,1
1594709769.509067,1594487153.111998,out1,1,"2020-07-14 13:07:09",-1,-1
1594709771.281659,1594487154.969608,out1,1,"2020-07-14 13:07:11",-1,-1
1594709774.113172,1594487157.676728,out1,1,"2020-07-14 13:07:14",-1,-1
1594709776.809088,1594670551.551985,in,1,"2020-07-14 13:07:16",1,1
